user_id,rank,product_id,score,reason
A0148968UM59JS3Y8D1M,1,B000OF3J7C,30.454810247848805,similar_to_user_history
A0148968UM59JS3Y8D1M,2,B000P50WXK,30.423855289447253,similar_to_user_history
A0148968UM59JS3Y8D1M,3,B000XS9C62,30.413712077506943,similar_to_user_history
A0148968UM59JS3Y8D1M,4,B000TUE3OA,30.31190865448334,similar_to_user_history
A0148968UM59JS3Y8D1M,5,B000I1D0BC,30.2859771583468,similar_to_user_history
A02755422E9NI29TCQ5W3,1,B000ZC1SW2,9.699745194605832,similar_to_user_history
A02755422E9NI29TCQ5W3,2,B000PU33FY,9.659691589545066,similar_to_user_history
A02755422E9NI29TCQ5W3,3,B000X0BY2U,9.585625787457715,similar_to_user_history
A02755422E9NI29TCQ5W3,4,B000E842MA,9.55374458886112,similar_to_user_history
A02755422E9NI29TCQ5W3,5,B000SMNKMK,9.230455367316779,similar_to_user_history
A04559521ZZJ87IMRVPME,1,B0003DKV8K,16.942884816875925,similar_to_user_history
A04559521ZZJ87IMRVPME,2,B000LNE9O4,16.741916562155073,similar_to_user_history
A04559521ZZJ87IMRVPME,3,B000UK0Q6I,16.390197116909462,similar_to_user_history
A04559521ZZJ87IMRVPME,4,B000P50XNY,16.14248801657333,similar_to_user_history
A04559521ZZJ87IMRVPME,5,B000NZWU00,16.049726186439493,similar_to_user_history
A097288670N6V5MXLZRB,1,B000I7Q7PW,8.728207576364008,similar_to_user_history
A097288670N6V5MXLZRB,2,B0010ALHUG,8.155223517091182,similar_to_user_history
A097288670N6V5MXLZRB,3,B0002639KK,8.14055835144147,similar_to_user_history
A097288670N6V5MXLZRB,4,B0006JCGUM,7.9778922470678,similar_to_user_history
A097288670N6V5MXLZRB,5,B000GX6SR0,7.722029396236425,similar_to_user_history
A100WFKYVRPVX7,1,B000NJCSJ4,14.33706836533986,similar_to_user_history
A100WFKYVRPVX7,2,B0000TIJ72,14.326280178092297,similar_to_user_history
A100WFKYVRPVX7,3,B000NUP5R0,14.141861114159411,similar_to_user_history
A100WFKYVRPVX7,4,B0008172IO,14.106461799119032,similar_to_user_history
A100WFKYVRPVX7,5,B000MRFOIO,14.104892852523994,similar_to_user_history
A101GG7X49PK0A,1,B000AYW0M2,5.682186945433498,similar_to_user_history
A101GG7X49PK0A,2,B000GB1R96,5.632590241943912,similar_to_user_history
A101GG7X49PK0A,3,B000GAYQOK,5.607507507888451,similar_to_user_history
A101GG7X49PK0A,4,B0002NYMD6,5.261496181045951,similar_to_user_history
A101GG7X49PK0A,5,B000GB0G7A,5.098981226968682,similar_to_user_history
A1027WM3PXKVMR,1,B000OTRF96,9.243753460570789,similar_to_user_history
A1027WM3PXKVMR,2,B000GYN2TG,9.232813444828446,similar_to_user_history
A1027WM3PXKVMR,3,B000NJBOXK,9.232813444828446,similar_to_user_history
A1027WM3PXKVMR,4,B000ZHFGGQ,9.08249765030343,similar_to_user_history
A1027WM3PXKVMR,5,B0007QMPOG,8.867363126122891,similar_to_user_history
A102MU6ZC9H1N6,1,B000B2I3PG,11.340327658802927,similar_to_user_history
A102MU6ZC9H1N6,2,B0006AAS4M,10.963592759522685,similar_to_user_history
A102MU6ZC9H1N6,3,B000MGWLDG,10.963102901670439,similar_to_user_history
A102MU6ZC9H1N6,4,B000P50WXK,10.938281508025543,similar_to_user_history
A102MU6ZC9H1N6,5,B000XETJU0,10.854390845131526,similar_to_user_history
A103PIRYKWQKR7,1,B0008172D4,12.88857041645527,similar_to_user_history
A103PIRYKWQKR7,2,B000PWIQHW,12.759659211913112,similar_to_user_history
A103PIRYKWQKR7,3,B000AI3BUS,12.666879854496036,similar_to_user_history
A103PIRYKWQKR7,4,B0000BNGCD,12.627868652592054,similar_to_user_history
A103PIRYKWQKR7,5,B000MFD9RE,12.616328622633489,similar_to_user_history
A103TW8KWPKZT2,1,B000FH9EQO,8.602710521180615,similar_to_user_history
A103TW8KWPKZT2,2,B0001NLSFW,8.359249049465497,similar_to_user_history
A103TW8KWPKZT2,3,B0009MZY5A,8.14041750600255,similar_to_user_history
A103TW8KWPKZT2,4,B000GF64XQ,8.128854434584618,similar_to_user_history
A103TW8KWPKZT2,5,B000XYVCOQ,7.80768904881885,similar_to_user_history
A1076V1FMO3G71,1,B000UZRCNS,6.957177282645972,similar_to_user_history
A1076V1FMO3G71,2,B000O7PT3W,6.857556209009336,similar_to_user_history
A1076V1FMO3G71,3,B000GX1TPQ,6.732073769952341,similar_to_user_history
A1076V1FMO3G71,4,B000KW8FPA,6.730096542550219,similar_to_user_history
A1076V1FMO3G71,5,B000UU0RWG,6.66915509120138,similar_to_user_history
A10AWAE0F6CAP1,1,B000LUIBH8,15.281269060505416,similar_to_user_history
A10AWAE0F6CAP1,2,B000WVALGK,15.04832911593692,similar_to_user_history
A10AWAE0F6CAP1,3,B000O76CU6,14.72917792577643,similar_to_user_history
A10AWAE0F6CAP1,4,B0007L44EA,14.726831519916761,similar_to_user_history
A10AWAE0F6CAP1,5,B000ARDYRY,14.725526508943027,similar_to_user_history
A10IEX983L1GXT,1,B000086Q9O,9.406183441322494,similar_to_user_history
A10IEX983L1GXT,2,B000MV1JT8,9.136464623632367,similar_to_user_history
A10IEX983L1GXT,3,B000H6BYI4,8.892229269369485,similar_to_user_history
A10IEX983L1GXT,4,B000BU02PC,8.698659247806948,similar_to_user_history
A10IEX983L1GXT,5,B000NP3964,8.550146942109217,similar_to_user_history
A10NM0T45XCTLD,1,B0009Z6AI2,7.897871356537401,similar_to_user_history
A10NM0T45XCTLD,2,B000Y1NBN8,7.787585735992787,similar_to_user_history
A10NM0T45XCTLD,3,B000LK22AU,7.666408679398297,similar_to_user_history
A10NM0T45XCTLD,4,B000B2TIE6,7.641523056682497,similar_to_user_history
A10NM0T45XCTLD,5,B000RZXSAM,7.587860612879985,similar_to_user_history
A10QBQ0ECEBW5S,1,B000UN04VM,8.26019170384831,similar_to_user_history
A10QBQ0ECEBW5S,2,B000UTT1Q0,8.157830492658048,similar_to_user_history
A10QBQ0ECEBW5S,3,B000N4QKMU,7.710429918867989,similar_to_user_history
A10QBQ0ECEBW5S,4,B000VDV63G,7.707400716319025,similar_to_user_history
A10QBQ0ECEBW5S,5,B000H0VBNI,7.666382237287619,similar_to_user_history
A10R2XMC0DD8F8,1,B0009RNXNA,10.795848890761366,similar_to_user_history
A10R2XMC0DD8F8,2,B000I4LNP4,10.756844766471414,similar_to_user_history
A10R2XMC0DD8F8,3,B0003YDZG4,10.756844766471412,similar_to_user_history
A10R2XMC0DD8F8,4,B000Q5V03K,10.756209841835169,similar_to_user_history
A10R2XMC0DD8F8,5,B0007SZIVQ,10.747235328166287,similar_to_user_history
A10VVD2S6W6ICO,1,B000K5F4II,9.559042949745749,similar_to_user_history
A10VVD2S6W6ICO,2,B000L6EZR2,9.50947260534417,similar_to_user_history
A10VVD2S6W6ICO,3,B000Q9SE9Y,9.355577232391006,similar_to_user_history
A10VVD2S6W6ICO,4,B000MPMF24,9.27707485967025,similar_to_user_history
A10VVD2S6W6ICO,5,B000N8RX40,9.155728523457988,similar_to_user_history
A10ZGY64T2AHCY,1,B0006IT6JC,13.488727198882955,similar_to_user_history
A10ZGY64T2AHCY,2,B000W8WVD4,13.21822673622978,similar_to_user_history
A10ZGY64T2AHCY,3,B000KIA82W,13.168355120329394,similar_to_user_history
A10ZGY64T2AHCY,4,B000J496FC,13.080161150667063,similar_to_user_history
A10ZGY64T2AHCY,5,B0001LMRWM,12.92083401988565,similar_to_user_history
A110M2KRZB0IS3,1,B000F45W9A,18.401732402956313,similar_to_user_history
A110M2KRZB0IS3,2,B0002TORTO,18.170130106869742,similar_to_user_history
A110M2KRZB0IS3,3,B000I7Q5FY,18.002049401966392,similar_to_user_history
A110M2KRZB0IS3,4,B000IZZ49O,17.95715751258291,similar_to_user_history
A110M2KRZB0IS3,5,B000EPYCV4,17.72222510231562,similar_to_user_history
A110PC8C5Y7MQD,1,B00020J0SQ,10.954131625840411,similar_to_user_history
A110PC8C5Y7MQD,2,B0006IHHMU,10.893165817720483,similar_to_user_history
A110PC8C5Y7MQD,3,B000GX3ILO,10.822899471154065,similar_to_user_history
A110PC8C5Y7MQD,4,B000XEIZ7S,10.7961996503423,similar_to_user_history
A110PC8C5Y7MQD,5,B000FQCX1I,10.775580546629547,similar_to_user_history
A111312GSRTE60,1,B000P15I3I,6.190755014816693,similar_to_user_history
A111312GSRTE60,2,B0002LTFXU,5.216519523572631,similar_to_user_history
A111312GSRTE60,3,B00029R84A,5.093250436988958,similar_to_user_history
A111312GSRTE60,4,B000K2TL4Y,5.073325392823136,similar_to_user_history
A111312GSRTE60,5,B0002TOUDW,5.062148320834567,similar_to_user_history
A113MTWVBQOHRU,1,B000HKK26U,15.576200043506923,similar_to_user_history
A113MTWVBQOHRU,2,B000FOX9YK,15.423651133699737,similar_to_user_history
A113MTWVBQOHRU,3,B000HKXJ24,14.761068511796113,similar_to_user_history
A113MTWVBQOHRU,4,B000KIA82W,14.645373596616352,similar_to_user_history
A113MTWVBQOHRU,5,B000H8250S,14.542640846882847,similar_to_user_history
A113N1RNN1ICCM,1,B000R70N4E,24.514531062516838,similar_to_user_history
A113N1RNN1ICCM,2,B000VV1F5C,24.453796398851164,similar_to_user_history
A113N1RNN1ICCM,3,B000NGOGJ2,24.385564656022403,similar_to_user_history
A113N1RNN1ICCM,4,B000QUZ8R4,24.36701003067395,similar_to_user_history
A113N1RNN1ICCM,5,B000WZ8OY2,24.354452908117548,similar_to_user_history
A1158GPHFBJ70U,1,B000VSA8BM,6.912807006966397,similar_to_user_history
A1158GPHFBJ70U,2,B000PT1U50,6.58182964812667,similar_to_user_history
A1158GPHFBJ70U,3,B000TNPGA2,6.574600940918309,similar_to_user_history
A1158GPHFBJ70U,4,B000AOZIIA,6.534208647687895,similar_to_user_history
A1158GPHFBJ70U,5,B0009MZYDW,6.381838047665271,similar_to_user_history
A115A6OQBJFVVS,1,B000NRF25S,8.173916895683838,similar_to_user_history
A115A6OQBJFVVS,2,B000G2TBGG,7.655647459023596,similar_to_user_history
A115A6OQBJFVVS,3,B000KN0BRE,7.4424446281477055,similar_to_user_history
A115A6OQBJFVVS,4,B0009STNQA,7.3901150237199635,similar_to_user_history
A115A6OQBJFVVS,5,B000FDSKVS,7.335968237792327,similar_to_user_history
A116BPIANHZEP6,1,B0001ZO3WU,6.3190794822007215,similar_to_user_history
A116BPIANHZEP6,2,B000BPO6VI,6.123397669342619,similar_to_user_history
A116BPIANHZEP6,3,B000KGKMIE,6.065876009330413,similar_to_user_history
A116BPIANHZEP6,4,B0001HKKPW,6.056197710221362,similar_to_user_history
A116BPIANHZEP6,5,B000YEM2AS,6.041351630298968,similar_to_user_history
A117PEASIX5TJ,1,B000EG6FAE,7.34472680400475,similar_to_user_history
A117PEASIX5TJ,2,B0002TOZ2S,7.292743449206298,similar_to_user_history
A117PEASIX5TJ,3,B000EQU0NW,7.201672747897302,similar_to_user_history
A117PEASIX5TJ,4,B000J3MCVI,7.129504730037084,similar_to_user_history
A117PEASIX5TJ,5,B000E1CZM6,7.088800762050662,similar_to_user_history
A117XUS2KI1M04,1,B0000ASFQL,5.665251846902006,similar_to_user_history
A117XUS2KI1M04,2,B00068TJIU,5.617600615796155,similar_to_user_history
A117XUS2KI1M04,3,B0002VG2XG,5.5684309994704435,similar_to_user_history
A117XUS2KI1M04,4,B000820YD8,5.460116188653418,similar_to_user_history
A117XUS2KI1M04,5,B000GX8WAG,5.384651890677977,similar_to_user_history
A118Z2D3HG7Z14,1,B000SMNKMK,12.797681813958725,similar_to_user_history
A118Z2D3HG7Z14,2,B000O1L9KK,12.765881349119049,similar_to_user_history
A118Z2D3HG7Z14,3,B000SMNL2E,12.303954534843236,similar_to_user_history
A118Z2D3HG7Z14,4,B000SMPNRK,12.198852535094696,similar_to_user_history
A118Z2D3HG7Z14,5,B000B66OI0,12.152497995928611,similar_to_user_history
A1197U426ZSZA4,1,B0002THUPC,14.979613249504357,similar_to_user_history
A1197U426ZSZA4,2,B000RDGHN4,14.97617756977667,similar_to_user_history
A1197U426ZSZA4,3,B000T8EN8I,14.976158978281912,similar_to_user_history
A1197U426ZSZA4,4,B000ATDT9U,14.973111291993622,similar_to_user_history
A1197U426ZSZA4,5,B0006JAMLM,14.960676059241493,similar_to_user_history
A11BY6YLLO81RG,1,B000EQS1JW,9.345441499411688,similar_to_user_history
A11BY6YLLO81RG,2,B000GHGDRQ,8.281991672213124,similar_to_user_history
